label,diff,nombre_archivo,ruta_completa,carpeta,grupo,id_registro,system:time_start,0,id_global
Nov-24,0.017,ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa,CON_NDVI,1,,,1
Dec-24,-0.017,ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa,CON_NDVI,2,,,2
Jan-25,-0.029,ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa,CON_NDVI,3,,,3
Feb-25,-0.013,ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa,CON_NDVI,4,,,4
Mar-25,0.05,ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa,CON_NDVI,5,,,5
Apr-25,-0.07,ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa,CON_NDVI,6,,,6
May-25,0.013,ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa,CON_NDVI,7,,,7
Jun-25,0.038,ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa,CON_NDVI,8,,,8
Jul-25,0.004,ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa,CON_NDVI,9,,,9
Aug-25,0.003,ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa,CON_NDVI,10,,,10
