label,diff,nombre_archivo,ruta_completa,carpeta,grupo,id_registro,id_global
Nov-24,0.017,ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa,MENSUAL,1,1
Dec-24,-0.017,ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa,MENSUAL,2,2
Jan-25,-0.029,ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa,MENSUAL,3,3
Feb-25,-0.013,ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa,MENSUAL,4,4
Mar-25,0.05,ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa,MENSUAL,5,5
Apr-25,-0.07,ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa,MENSUAL,6,6
May-25,0.013,ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa,MENSUAL,7,7
Jun-25,0.038,ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa,MENSUAL,8,8
Jul-25,0.004,ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa,MENSUAL,9,9
Aug-25,0.003,ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa,MENSUAL,10,10
Sep-25,0.056,ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa Diferencia mensual NDVI.csv,Parque Alfredo Landa,MENSUAL,11,11
Nov-24,0.076,ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",MENSUAL,1,12
Dec-24,-0.037,ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",MENSUAL,2,13
Jan-25,-0.012,ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",MENSUAL,3,14
Feb-25,-0.05,ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",MENSUAL,4,15
