system:time_start,0,nombre_archivo,ruta_completa,carpeta,grupo,id_registro,id_global
"Nov 6, 2024",0.452,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,1,1
"Nov 11, 2024",0.455,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,2,2
"Nov 18, 2024",0.437,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,3,3
"Nov 28, 2024",0.462,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,4,4
"Dec 3, 2024",0.436,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,5,5
"Dec 6, 2024",0.415,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,6,6
"Dec 8, 2024",0.431,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,7,7
"Dec 16, 2024",0.434,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,8,8
"Dec 21, 2024",0.408,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,9,9
"Dec 23, 2024",0.4,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,10,10
"Dec 26, 2024",0.393,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,11,11
"Dec 28, 2024",0.398,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,12,12
"Dec 31, 2024",0.374,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,13,13
"Jan 12, 2025",0.389,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,14,14
"Jan 15, 2025",0.371,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,15,15
"Jan 17, 2025",0.379,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,16,16
